id,name,length,Achievements
1,Abyssal Bludgeon Parts,3,"759,750,760"
2,Hydra Uniques,6,"738,754,755,745,739,740"
3,Dragon Throwing Weapons,2,"777,778"
4,Karil's Equipment,4,"29,20,35,28"
5,Verac's Equipment,4,"36,27,37,24"
6,Dharok's Equipment,4,"34,18,19,38"
7,Guthan's Equipment,4,"31,17,41,25"
8,Ahrim's Equipment,4,"22,30,26,21"
9,Torag's Equipment,4,"23,40,33,32"
10,Wilderness Rings,3,"921,933,932"
11,Odium Ward,3,"913,931,936"
12,Malediction Ward,3,"934,917,935"
13,Corporeal Sigils,3,"927,914,915"
14,Cerberus Crystals,3,"748,752,758"
15,Godsword Shards,3,"352,353,347"
16,Bandos Equipment,3,"338,342,349"
17,Armadyl Equipment,3,"341,359,340"
18,Dagannoth King Pets,3,"534,533,538"
19,Dagannoth King Rings,4,"537,536,540,535"
20,Crystal Seeds,2,"547,548"
21,Grotesque Guardians Uniques,3,"765,766,767"
22,Anima Seeds,3,"554,555,556"
23,Pyromancer Outfit,4,"582,583,585,584"
24,Serpentine Mutagens,2,"592,593"
25,Chambers of Xeric Challenge Cape,5,"90,89,91,92,93"
26,Sinhaza Shroud,5,"833,834,835,836,837"
27,Ancestral Robes,3,"84,94,95"
28,Chambers of Xeric Weapons,5,"83,96,99,98,97"
29,Chambers of Xeric Shields,2,"85,100"
30,Chambers of Xeric Scrolls,3,"86,101,102"
31,Theatre of Blood Weapons,4,"830,838,839,840"
32,Justiciar Armour,3,"831,841,842"
33,Beginner Clue Uniques,5,"42,43,44,45,46"
34,Easy Clue Uniques,28,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
35,Medium Clue Uniques,24,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
36,Hard Clue Uniques,33,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
37,Elite Clue Uniques,21,"194,200,211,197,202,213,207,206,196,208,195,201,199,198,205,204,209,203,212,210,214"
38,Master Clue Uniques,20,"443,459,448,452,450,460,454,458,462,449,453,456,446,451,455,445,444,447,457,461"
39,Shared Clue Uniques,11,"727,735,731,730,736,733,732,737,734,729,728"
40,Barbarian Assault Hats,4,"7,14,15,16"
41,Castle Wars Red Armour,6,"48,58,59,60,61,62"
