id,name,LINK_achievements
1,Abyssal orphan,762
2,Bludgeon spine,"759,750,760"
3,Jar of miasma,749
4,Unsired,753
5,Bludgeon claw,"759,750,760"
6,Abyssal dagger,756
7,Abyssal head,742
8,Bludgeon axon,"759,750,760"
9,Abyssal whip,761
10,Ikkle hydra ,757
11,Hydra leather ,"738,754,755,745,739,740"
12,Hydra's heart,"738,754,755,745,739,740"
13,Hydra's claw ,"738,754,755,745,739,740"
14,Hydra's fang,"738,754,755,745,739,740"
15,Dragon knife ,"777,778"
16,Hydra tail,"738,754,755,745,739,740"
17,Hydra's eye,"738,754,755,745,739,740"
18,Dragon thrownaxe,"777,778"
19,Jar of chemicals ,744
20,Alchemical hydra heads,747
21,Karil's coif,"29,20,35,28"
22,Karil's leathertop,"29,20,35,28"
23,Karil's leatherskirt,"29,20,35,28"
24,Karil's crossbow,"29,20,35,28"
25,Ahrim's hood,"22,30,26,21"
26,Ahrim's robetop,"22,30,26,21"
27,Ahrim's robeskirt,"22,30,26,21"
28,Ahrim's staff,"22,30,26,21"
29,Dharok's helm,"34,18,19,38"
30,Dharok's platebody,"34,18,19,38"
31,Dharok's platelegs,"34,18,19,38"
32,Dharok's greataxe,"34,18,19,38"
33,Guthan's helm,"31,17,41,25"
34,Guthan's platebody,"31,17,41,25"
35,Guthan's chainskirt,"31,17,41,25"
36,Guthan's warspear,"31,17,41,25"
37,Torag's helm,"23,40,33,32"
38,Torag's platebody,"23,40,33,32"
39,Torag's platelegs,"23,40,33,32"
40,Torag's hammers,"23,40,33,32"
41,Verac's helm,"36,27,37,24"
42,Verac's brassard,"36,27,37,24"
43,Verac's plateskirt,"36,27,37,24"
44,Verac's flail,"36,27,37,24"
45,Bolt rack,39
46,Bryophyta's essence,539
47,Callisto cub,916
48,Tyrannical ring,"921,933,932"
49,Dragon pickaxe,928
50,Dragon 2h sword,924
51,Pet chaos elemental,923
52,Odium shard 1,"913,931,936"
53,Odium shard 2,"913,931,936"
54,Odium shard 3,"913,931,936"
55,Malediction shard 1,"934,917,935"
56,Malediction shard 2,"934,917,935"
